iter	Passed	Remaining
610	268148	1048457
611	268527	1047782
612	268946	1047266
613	269328	1046608
614	269685	1045852
615	270119	1045396
616	270490	1044699
617	270886	1044097
618	271230	1043295
619	271555	1042420
620	271880	1041551
621	272269	1040927
622	272675	1040367
623	273106	1039904
624	273441	1039076
625	273774	1038242
626	274107	1037410
627	274424	1036521
628	274773	1035750
629	275143	1035064
630	275477	1034241
631	275849	1033562
632	276199	1032802
633	276590	1032195
634	277030	1031774
635	277445	1031258
636	277812	1030565
637	278141	1029732
638	278469	1028900
639	278845	1028241
640	279192	1027480
641	279601	1026947
642	279998	1026371
643	280387	1025764
644	280764	1025117
645	281222	1024763
646	281592	1024092
647	281968	1023441
648	282345	1022796
649	282771	1022327
650	283136	1021639
651	283513	1020997
652	283831	1020139
653	284226	1019564
654	284631	1019025
655	284945	1018160
656	285330	1017547
657	285796	1017228
658	286161	1016545
659	286488	1015731
660	286873	1015123
661	287199	1014307
662	287591	1013726
663	287944	1013010
664	288343	1012455
665	288699	1011746
666	289077	1011120
667	289456	1010496
668	289863	1009973
669	290236	1009328
670	290687	1008959
671	291079	1008381
672	291411	1007598
673	291851	1007190
674	292162	1006337
675	292591	1005892
676	293001	1005380
677	293322	1004563
678	293653	1003783
679	293975	1002976
680	294349	1002344
681	294746	1001791
682	295102	1001100
683	295460	1000417
684	295819	999739
685	296277	999395
686	296622	998672
687	297038	998189
688	297403	997531
689	297732	996757
690	298158	996307
691	298528	995671
692	298873	994950
693	299251	994344
694	299663	993847
695	300050	993271
696	300456	992757
697	300847	992193
698	301392	992138
699	301787	991587
700	302162	990971
701	302589	990527
702	302993	990010
703	303401	989504
704	303768	988863
705	304143	988251
706	304626	987988
707	304964	987259
708	305372	986754
709	305765	986202
710	306150	985625
711	306545	985078
712	306931	984505
713	307278	983806
714	307665	983240
715	308074	982740
716	308420	982040
717	308838	981572
718	309235	981038
719	309617	980456
720	310038	979995
721	310374	979270
722	310783	978774
723	311122	978060
724	311525	977544
725	311931	977041
726	312294	976403
727	312620	975652
728	313001	975070
729	313350	974391
730	313761	973905
731	314188	973467
732	314601	972988
733	314965	972360
734	315361	971829
735	315706	971140
736	316093	970582
737	316446	969921
738	316815	969308
739	317155	968608
740	317552	968084
741	317908	967435
742	318339	967014
743	318710	966411
744	319074	965788
745	319517	965406
746	319946	964977
747	320280	964266
748	320663	963702
749	321037	963112
750	321367	962391
751	321740	961798
752	322096	961157
753	322427	960440
754	322771	959763
755	323094	959027
756	323439	958356
757	323853	957889
758	324238	957335
759	324636	956822
760	324949	956060
761	325267	955313
762	325614	954652
763	326022	954170
764	326414	953641
765	326804	953107
766	327209	952619
767	327654	952245
768	328039	951697
769	328405	951097
770	328794	950560
771	329171	949991
772	329557	949448
773	329914	948824
774	330279	948222
775	330718	947833
776	331075	947207
777	331461	946666
778	331805	946007
779	332195	945479
780	332553	944861
781	333272	945265
782	333620	944619
783	333986	944022
784	334349	943419
785	334700	942781
786	335078	942223
787	335496	941774
788	335927	941363
789	336273	940714
790	336707	940311
791	337079	939735
792	337433	939111
793	337847	938654
794	338221	938085
795	338571	937452
796	339138	937418
797	339531	936901
798	340130	936954
799	340827	937275
800	341527	937600
801	342106	937592
802	342747	937752
803	343259	937559
804	343816	937487
805	344385	937447
806	344907	937277
807	345474	937227
808	346074	937267
809	346536	936931
810	347068	936785
811	347548	936497
812	347987	936098
813	348455	935778
814	348944	935513
815	349419	935209
816	349649	934254
817	349870	933274
818	350125	932386
819	350402	931558
820	350688	930755
821	350974	929954
822	351279	929205
823	351578	928440
824	351893	927718
825	352181	926929
826	352485	926179
827	352781	925411
828	353087	924673
829	353375	923885
830	353680	923145
831	353992	922422
832	354270	921612
833	354580	920887
834	354883	920148
835	355182	919396
836	355481	918646
837	355781	917900
838	356087	917169
839	356361	916359
840	356664	915621
841	356966	914886
842	357262	914134
843	357543	913345
844	357857	912641
845	358155	911900
846	358455	911161
847	358762	910443
848	359051	909682
849	359360	908971
850	359656	908226
851	359921	907407
852	360224	906684
853	360526	905960
854	360825	905227
855	361114	904473
856	361398	903706
857	361694	902972
858	361960	902162
859	362300	901537
860	362588	900787
861	362906	900110
862	363180	899323
863	363500	898653
864	363811	897962
865	364085	897180
866	364378	896446
867	364662	895690
868	364930	894898
869	365228	894179
870	365536	893486
871	365837	892776
872	366099	891973
873	366374	891204
874	366704	890567
875	366955	889741
876	367254	889031
877	367693	888661
878	367998	887969
879	368301	887271
880	368626	886627
881	368930	885934
882	369230	885233
883	369538	884551
884	369868	883921
885	370149	883178
886	370471	882533
887	370800	881904
888	371131	881279
889	371440	880606
890	371750	879934
891	372030	879194
892	372346	878537
893	372641	877833
894	372968	877204
895	373242	876452
896	373561	875807
897	373895	875198
898	374192	874504
899	374524	873891
900	374779	873099
901	375091	872440
902	375397	871770
903	375742	871189
904	376073	870577
905	376351	869845
906	376610	869068
907	376885	868331
908	377237	867771
909	377581	867193
910	378148	867127
911	378418	866378
912	378690	865637
913	379029	865050
914	379349	864420
915	379657	863763
916	379916	862994
917	380226	862343
918	380489	861586
919	380769	860869
920	381038	860130
921	381367	859523
922	381702	858934
923	382017	858298
924	382322	857641
925	382561	856839
926	382861	856171
927	383136	855450
928	383416	854741
929	383695	854030
930	383967	853306
931	384229	852560
932	384551	851947
933	384835	851253
934	385132	850587
935	385438	849941
936	385743	849293
937	386042	848634
938	386300	847886
939	386612	847257
940	386887	846547
941	387236	846001
942	387553	845384
943	387842	844707
944	388126	844020
945	388431	843381
946	388741	842752
947	389046	842114
948	389376	841529
949	389703	840940
950	389981	840243
951	390241	839511
952	390572	838932
953	390845	838228
954	391139	837570
955	391435	836918
956	391775	836361
957	392068	835704
958	392380	835088
959	392817	834738
960	393118	834098
961	393446	833517
962	393792	832974
963	394085	832320
964	394411	831737
965	394692	831061
966	394995	830429
967	395256	829712
968	395552	829068
969	395827	828380
970	396147	827788
971	396446	827154
972	396748	826525
973	397036	825868
974	397305	825172
975	397648	824632
976	397997	824102
977	398306	823493
